Gene,Max_logExp,Threshold
ADIPOQ,2.5074611016821624,1.2537305508410812
AGT,2.802924457949325,1.4014622289746625
AMH,0.4792512958532724,0.2396256479266362
ANGPTL4,2.268211859261628,1.134105929630814
ASIP,0.6694149253356778,0.3347074626678389
C3,3.365255681884664,1.682627840942332
CCK,3.991239555903542,1.995619777951771
CFD,4.074481039593941,2.0372405197969705
ENHO,1.2305356110623165,0.6152678055311582
FBN1,3.3244093781702833,1.6622046890851416
FNDC5,0.8612900517208898,0.4306450258604449
FSTL1,2.4711156783512993,1.2355578391756497
GDF15,1.751846273112087,0.8759231365560435
IGF1,2.6307052616341293,1.3153526308170647
INSL3,0.0594166103569705,0.02970830517848525
INSL6,0.5153875528033667,0.25769377640168334
ITLN1,3.629939161153673,1.8149695805768364
KNG1,2.467983984058997,1.2339919920294986
NAMPT,4.143736971064251,2.0718684855321254
NPPA,4.304467535583514,2.152233767791757
NPPB,2.3613951358819563,1.1806975679409781
NPPC,1.4311567668319907,0.7155783834159953
POMC,6.673121017025508,3.336560508512754
PRL,5.950720461883421,2.9753602309417104
PRXL2B,0.4733951136469816,0.2366975568234908
PTGDS,4.010739505321221,2.0053697526606107
RARRES2,2.1201278578122693,1.0600639289061347
RBP4,3.6322815879480395,1.8161407939740197
RLN2,0.09132398343168677,0.045661991715843384
TBXAS1,3.4356257077638865,1.7178128538819433
TOR2A,0.2618182419803975,0.13090912099019875
UCN,0.19037496405601587,0.09518748202800793
UCN3,0.13386084013355626,0.06693042006677813
