Gene,Max_logExp,Threshold
AANAT,0.8978568280800001,0.08978568280800002
ADCYAP1,1.620235851808692,0.1620235851808692
ADIPOQ,2.6221569442719943,0.26221569442719944
ADM,1.3822410809260561,0.13822410809260563
AGRP,0.2978368383037905,0.02978368383037905
AGT,2.7993184534151747,0.2799318453415175
AKR1C3,2.691516682151348,0.2691516682151348
AMH,0.47914842034537874,0.04791484203453788
ANGPTL3,1.3195501666106146,0.13195501666106146
ANGPTL4,2.268530481834004,0.2268530481834004
ANGPTL8,0.6858947081072937,0.06858947081072937
APLN,0.2749294463734126,0.02749294463734126
ASIP,0.6689108776746203,0.06689108776746204
ASMT,0.988286542754061,0.0988286542754061
AVP,4.65914629660462,0.465914629660462
BDNF,1.6608882242764964,0.16608882242764966
BGLAP,0.03660687967968484,0.003660687967968484
C1QTNF12,0.4393305220410328,0.04393305220410328
C1QTNF9,0.5500663254662506,0.05500663254662506
C3,3.365958238550327,0.3365958238550327
CALCA,0.5904593555481131,0.059045935554811316
CALCB,1.9674120922314862,0.19674120922314864
CARTPT,3.7509577814270094,0.37509577814270095
CCK,3.9909569038644914,0.39909569038644915
CFD,4.074450456576374,0.4074450456576374
CGA,4.250162594860058,0.4250162594860058
CORIN,1.5014694961595219,0.1501469496159522
CORT,1.5153937123290842,0.15153937123290842
CRH,3.0125399793550276,0.3012539979355028
CYB5A,2.4897697291999945,0.24897697291999946
CYP11A1,3.439672488811697,0.34396724888116975
CYP11B1,3.8368795371736026,0.3836879537173603
CYP11B2,2.28994566679423,0.228994566679423
CYP17A1,1.9909118925727995,0.19909118925727998
CYP19A1,0.5885032994358281,0.058850329943582816
CYP21A2,1.9867437156350343,0.19867437156350343
CYP27B1,0.1524874534683491,0.01524874534683491
DBH,1.0219901194969374,0.10219901194969375
DDC,1.2147029828613312,0.12147029828613312
DUOX2,0.9770068181709444,0.09770068181709445
ECRG4,1.2988015215847073,0.12988015215847074
EDN1,1.311714091160571,0.1311714091160571
EDN3,2.6976221093307506,0.26976221093307506
ENHO,1.2303968129834864,0.12303968129834864
FBN1,3.3275493729626167,0.3327549372962617
FDX1,3.566407957783321,0.35664079577833213
FDXR,1.719832469381077,0.1719832469381077
FGF21,0.1781165524119095,0.01781165524119095
FGF23,0.11850098890858363,0.011850098890858363
FNDC5,0.8611414131714344,0.08611414131714346
FSHB,3.1634534045515696,0.316345340455157
FST,1.1390792676876558,0.11390792676876559
FSTL1,2.4711159679351606,0.24711159679351608
GAL,3.1331452174319487,0.3133145217431949
GAST,0.032153317509785,0.0032153317509785
GCG,6.830955352393685,0.6830955352393686
GDF15,1.7517741583272033,0.17517741583272034
GH2,0.3584430380651907,0.03584430380651907
GHRH,1.179078435675741,0.11790784356757411
GHRL,0.38123250947612386,0.03812325094761239
GIP,0.1816253908248755,0.01816253908248755
GNRH1,0.4250548633059123,0.04250548633059123
GNRH2,0.03214765563548466,0.003214765563548466
GRP,0.9981111084015152,0.09981111084015153
GUCA2A,1.2410742921044762,0.12410742921044762
GUCA2B,0.8616008736894337,0.08616008736894337
HAMP,1.952180967305799,0.1952180967305799
HCRT,3.034411352209574,0.3034411352209574
HDC,3.5558487040579827,0.3555848704057983
HSD17B1,0.17862479128510406,0.017862479128510408
HSD17B3,0.7378853270595298,0.07378853270595298
HSD3B1,0.030216794407099925,0.0030216794407099926
HSD3B2,2.159447457564474,0.2159447457564474
IAPP,4.011365560335014,0.4011365560335014
IGF1,2.6324948301332585,0.26324948301332585
IGF2,1.9932972442039785,0.19932972442039787
INHA,0.4184820260599862,0.04184820260599862
INHBA,2.48779345106548,0.248779345106548
INHBB,0.8818983745039564,0.08818983745039564
INHBE,0.3473227669552467,0.03473227669552467
INS,8.190991181180692,0.8190991181180692
INSL3,0.0593726156567524,0.00593726156567524
INSL6,0.5149549265554965,0.051495492655549646
