Gene,Max_logExp,Threshold
AANAT,0.2725761602400001,0.02725761602400001
ADCYAP1,2.831524087479501,0.2831524087479501
ADIPOQ,2.5989983237534875,0.25989983237534875
ADM,2.3265816461646196,0.23265816461646197
ADM2,0.26573840060203424,0.026573840060203427
AGRP,0.9961621951700002,0.09961621951700002
AGT,3.72695687524283,0.37269568752428306
AKR1C3,2.211697292525106,0.2211697292525106
AMH,3.334127753399689,0.33341277533996894
ANGPTL3,1.543551351976833,0.1543551351976833
ANGPTL4,2.343140479981879,0.23431404799818792
ANGPTL8,0.6154236695940665,0.06154236695940665
APLN,0.6461382685652228,0.06461382685652228
ASIP,0.6274632816360192,0.06274632816360191
ASMT,0.27009391601470073,0.027009391601470076
AVP,2.2281360601387012,0.22281360601387012
BDNF,0.5993167254574175,0.059931672545741756
BGLAP,1.084319858540039,0.10843198585400392
C1QTNF12,0.9023090042799996,0.09023090042799997
C1QTNF9,0.912275404873139,0.09122754048731391
C3,4.08070673592169,0.40807067359216903
CALCA,3.9305584615,0.39305584615
CALCB,1.3950173079060428,0.1395017307906043
CARTPT,1.6025246969348166,0.16025246969348167
CCK,2.7710145351676583,0.27710145351676585
CFD,5.658392810775699,0.56583928107757
CGA,5.742440652675457,0.5742440652675457
CGB2,0.0964122006799079,0.00964122006799079
CGB7,0.0634532798022844,0.006345327980228441
CORIN,0.7452794514820463,0.07452794514820464
CORT,0.6763447081214796,0.06763447081214796
CRH,1.1333806150074133,0.11333806150074133
CYB5A,3.4355629212277776,0.3435562921227778
CYP11A1,2.8605359205409706,0.2860535920540971
CYP11B1,2.5054916750034937,0.2505491675003494
CYP11B2,3.5242055467596014,0.3524205546759602
CYP17A1,4.421836863190057,0.44218368631900573
CYP19A1,0.8251788250207494,0.08251788250207494
CYP21A2,4.1025639580637545,0.41025639580637546
CYP27B1,0.6966747188179911,0.06966747188179911
DBH,0.5008841659046636,0.05008841659046636
DDC,2.3087392665492312,0.23087392665492312
DUOX2,2.3568373515293546,0.23568373515293548
ECRG4,4.033576833230573,0.40335768332305727
EDN1,2.7728357809999973,0.27728357809999976
EDN2,1.0815956691996227,0.10815956691996227
EDN3,0.9947192542347562,0.09947192542347562
ENHO,1.5602723138,0.15602723138000002
EPO,0.14437952364498186,0.014437952364498186
FBN1,3.306754454172225,0.3306754454172225
FDX1,3.6432604804600373,0.36432604804600377
FDXR,2.311391103398878,0.2311391103398878
FGF19,0.044983193,0.0044983193
FGF21,0.0370675243922299,0.0037067524392229902
FGF23,1.3103538609800027,0.13103538609800028
FNDC5,0.8324336417886975,0.08324336417886975
FSHB,2.3152922924332993,0.23152922924332994
FST,2.1821838637801334,0.21821838637801336
FSTL1,3.1346847940932134,0.3134684794093214
GAL,4.66292208516867,0.46629220851686703
GALP,0.093490947988,0.0093490947988
GAST,7.978284513599997,0.7978284513599997
GCG,6.674036647501415,0.6674036647501416
GDF15,3.3822340644480056,0.3382234064448006
GH1,7.114904604191315,0.7114904604191316
GH2,0.9119883829372972,0.09119883829372973
GHRH,1.7608470091914348,0.1760847009191435
GHRL,7.6226593534712865,0.7622659353471287
GNRH1,0.31608447372389537,0.03160844737238954
GNRH2,0.15091287604162432,0.015091287604162432
GRP,5.8874174848,0.58874174848
GUCA2A,4.60011504,0.46001150400000007
GUCA2B,4.831923366,0.4831923366
HAMP,2.694860133533197,0.26948601335331973
HCRT,0.3017937512775985,0.030179375127759853
HDC,3.160274678156332,0.3160274678156332
HSD17B1,2.9041631366102174,0.2904163136610218
HSD17B3,0.931393542572557,0.09313935425725571
HSD3B1,0.07602000535999999,0.007602000535999999
HSD3B2,4.70704886137474,0.470704886137474
IAPP,4.070597457921724,0.4070597457921724
IGF1,3.320281066302157,0.33202810663021576
IGF2,3.7631636139959914,0.3763163613995992
INHA,1.579128528451131,0.1579128528451131
INHBA,2.0652212956227918,0.2065221295622792
INHBB,3.022295031235475,0.3022295031235475
INHBE,0.2009512662775868,0.020095126627758683
INS,8.649704115950488,0.8649704115950488
INSL3,5.1031986914475365,0.5103198691447537
INSL5,4.4990365535,0.44990365535
INSL6,1.0804918733510562,0.10804918733510563
ITLN1,5.767398974339363,0.5767398974339363
KISS1,0.618492590259095,0.0618492590259095
KNG1,3.2237496242045838,0.3223749624204584
LCN2,5.331369512099994,0.5331369512099994
LHB,4.680620596825935,0.4680620596825935
MLN,4.8371414205,0.48371414205
MSTN,0.17880617719147246,0.017880617719147247
NAMPT,4.934567364973055,0.4934567364973055
NMB,1.479578508420528,0.1479578508420528
NMU,1.7477172268149594,0.17477172268149596
NPB,1.3101085183675059,0.1310108518367506
NPFF,0.33500527536591335,0.033500527536591336
NPPA,5.221727087639031,0.5221727087639031
NPPB,3.0535127813176532,0.3053512781317653
NPPC,2.0648625228236908,0.20648625228236908
NPW,1.715094667400004,0.17150946674000042
NPY,3.645260527956397,0.36452605279563977
NTS,5.421137192937721,0.5421137192937721
OSTN,0.26903211884786926,0.026903211884786928
OXT,0.3175248840460167,0.031752488404601674
PCSK1,1.4273798463027532,0.14273798463027532
PCSK2,2.179750889188334,0.2179750889188334
